enrollment_id,attendance_date,status
2247,2025-10-17,Present
2751,2025-08-15,Present
3011,2025-10-05,Present
2635,2025-03-15,Present
4340,2025-07-07,Present
2585,2025-08-01,Absent
4687,2025-04-22,Absent
240,2025-11-03,Present
3674,2025-05-28,Present
3248,2025-03-10,Absent
4382,2025-01-01,Absent
4910,2025-04-02,Absent
1454,2025-10-10,Absent
4737,2025-05-29,Absent
2840,2025-05-08,Absent
4099,2025-07-18,Present
3606,2025-11-06,Absent
3904,2025-07-25,Absent
4305,2025-01-14,Absent
4982,2025-10-22,Present
2608,2025-03-03,Absent
3473,2025-04-07,Absent
4226,2025-02-16,Absent
3557,2025-04-09,Present
4656,2025-03-17,Present
923,2025-03-20,Present
1652,2025-08-19,Absent
1624,2025-07-02,Absent
2042,2025-03-02,Present
3832,2025-05-19,Present
144,2025-10-24,Absent
2249,2025-03-19,Present
1417,2025-02-03,Absent
4205,2025-07-10,Present
2062,2025-03-08,Present
2392,2025-04-13,Present
907,2025-10-17,Present
1119,2025-10-21,Absent
83,2025-05-19,Present
2796,2025-05-28,Present
359,2025-02-08,Present
4642,2025-02-23,Absent
20,2025-04-25,Present
3056,2025-04-21,Present
3266,2025-05-29,Absent
48,2025-05-25,Absent
1155,2025-05-03,Present
3302,2025-07-28,Present
583,2025-05-30,Absent
1554,2025-03-17,Absent
4401,2025-10-08,Absent
4149,2025-02-10,Present
1616,2025-06-08,Present
339,2025-08-27,Absent
4974,2025-07-24,Absent
1961,2025-01-15,Present
4501,2025-09-21,Absent
4724,2025-04-10,Present
3799,2025-10-14,Present
253,2025-11-07,Present
1830,2025-01-07,Present
4367,2025-08-17,Absent
1998,2025-05-07,Present
854,2025-07-29,Absent
327,2025-06-02,Absent
888,2025-08-04,Present
3171,2025-09-19,Present
3747,2025-02-03,Absent
3072,2025-10-13,Absent
537,2025-09-20,Absent
3616,2025-02-27,Present
2089,2025-09-12,Absent
1772,2025-07-01,Present
3365,2025-08-29,Present
1666,2025-08-02,Present
1483,2025-01-22,Present
1757,2025-02-24,Absent
1381,2025-10-31,Present
1458,2025-04-05,Present
4236,2025-01-30,Present
173,2025-11-09,Absent
3534,2025-08-30,Absent
3095,2025-11-06,Absent
4735,2025-02-15,Present
4569,2025-04-14,Absent
4091,2025-05-14,Absent
2058,2025-10-08,Absent
770,2025-05-18,Present
509,2025-06-30,Absent
1039,2025-10-02,Present
4073,2025-08-11,Absent
3597,2025-10-22,Present
3856,2025-05-03,Absent
2602,2025-03-28,Absent
2956,2025-10-03,Present
4488,2025-04-26,Absent
2569,2025-07-07,Present
330,2025-04-19,Absent
1617,2025-05-29,Absent
897,2025-01-08,Absent
2772,2025-06-30,Absent
1340,2025-05-15,Absent
2140,2025-01-09,Absent
3884,2025-10-29,Absent
233,2025-05-11,Present
4627,2025-04-26,Absent
2929,2025-05-09,Absent
2490,2025-03-25,Present
925,2025-06-22,Present
983,2025-09-20,Present
968,2025-07-24,Absent
558,2025-08-10,Present
350,2025-09-08,Absent
1934,2025-04-07,Present
3797,2025-01-13,Present
2816,2025-02-26,Present
4754,2025-05-30,Absent
655,2025-01-07,Absent
3104,2025-06-11,Present
4860,2025-02-22,Absent
2454,2025-04-17,Present
1022,2025-04-19,Absent
2196,2025-01-22,Present
3085,2025-03-16,Absent
4764,2025-10-25,Present
1864,2025-07-12,Absent
4882,2025-01-30,Absent
3246,2025-10-28,Present
4030,2025-04-28,Present
3083,2025-02-04,Present
3964,2025-07-28,Absent
1102,2025-10-27,Present
2458,2025-10-30,Present
3373,2025-05-16,Present
1726,2025-09-14,Absent
2661,2025-02-22,Absent
2445,2025-07-12,Present
1106,2025-06-05,Present
4346,2025-04-14,Absent
4754,2025-06-04,Absent
107,2025-08-10,Present
3555,2025-09-25,Present
2698,2025-03-03,Present
3206,2025-02-27,Absent
3038,2025-03-16,Absent
1050,2025-10-13,Absent
852,2025-07-31,Absent
489,2025-03-14,Present
2267,2025-01-21,Absent
2238,2025-04-02,Absent
2333,2025-05-06,Absent
1510,2025-10-24,Present
1571,2025-04-17,Absent
2830,2025-02-02,Present
3388,2025-07-07,Absent
2240,2025-01-10,Absent
4916,2025-04-21,Absent
2996,2025-04-11,Absent
1690,2025-03-01,Absent
2206,2025-05-08,Present
1493,2025-02-05,Absent
2712,2025-04-30,Absent
